timestamp,Altiva Hybrid Long-Short Fund,Magnum Hybrid Long Short Fund,iSIF Equity Ex-Top 100 Long-Short Fund,iSIF Hybrid Long-Short Fund,iSIF Active Asset Allocator Long-Short Fund,Qsif Equity Long-Short Fund,RedHex Hybrid Long-Short Fund,Titanium Hybrid Long-Short Fund,Altiva Equity Ex-Top 100 Long-Short Fund,Diviniti Equity Long Short Fund,DynaSIF Equity Long-Short Fund,iSIF Equity Long-Short Fund,Qsif Equity Ex-Top 100 Long-Short Fund,Titanium Equity Long-Short Fund,DynaSIF Active Asset Allocator Long-Short Fund,Qsif Hybrid Long-Short Fund,Arthaya Equity Long Short Fund,Arudha Hybrid Long-Short Fund,Arudha Equity Long-Short Fund,Apex Hybrid Long-Short Fund,Qsif Active Asset Allocator Long-Short Fund,WSIF Equity Long-Short Fund,WSIF Equity Ex-Top 100 Long-Short Fund,Sapphire Equity Long-Short SIF,Qsif Sector Rotation Long-Short Fund,Platinum Hybrid Long-Short Fund,DynaSIF Equity Ex-Top 100 Long-Short Fund,Infinity Hybrid Long-Short Fund
2026-01-23 00:00:00+00:00,10.2635,10.1259,,,,9.5686,,9.8527,,991.7995,,,9.2054,,,9.8202,,,,,,,,,,,,
2026-01-27 00:00:00+00:00,10.2744,10.1093,,,,9.6089,,9.8856,,991.2368,,,9.1911,,,9.8194,,,,,,,,,,,,
2026-01-28 00:00:00+00:00,10.2928,10.1378,,,,9.6627,,9.9409,,992.481,,,9.2716,,,9.8456,,,,,,,,,,,,
2026-01-29 00:00:00+00:00,10.3041,10.138,,,,9.7173,,9.9702,,991.679,,,9.3402,,,9.8726,,,,,,,,,,,,
2026-01-30 00:00:00+00:00,10.3066,10.1368,,,,9.7259,,9.9637,,991.1992,,,9.401,,,9.889,,,,,,,,,,,,
2026-02-02 00:00:00+00:00,10.3083,10.121,,,,9.6863,,9.9359,,988.0553,,,9.3212,,,9.8797,,,,,,,,,,,,
2026-02-03 00:00:00+00:00,10.334,10.1898,,,,9.8305,,10.0602,,991.875,,,9.5232,,,9.9642,,,,,,,,,,,,
2026-02-04 00:00:00+00:00,10.3363,10.1921,10.0,10.0,,9.8575,,10.1022,,995.2829,,,9.5587,,,9.9564,,10.034,,,,,,,,,,
2026-02-05 00:00:00+00:00,10.3301,10.1899,9.99,10.0179,,9.8633,,10.0823,,992.0587,,,9.5456,,,9.9612,,10.042,,,,,,,,,,
2026-02-06 00:00:00+00:00,10.3377,10.2036,9.99,10.0054,,9.8602,,10.0961,,992.3122,,,9.5179,,,9.9318,,10.04,,,,,,,,,,
2026-02-09 00:00:00+00:00,10.3565,10.2212,10.05,10.069,,9.9241,,10.1285,,994.3212,,,9.6474,,,9.9723,,10.037,,,,,,,,,,
2026-02-10 00:00:00+00:00,10.3574,10.2299,10.06,10.1151,,9.9122,,10.1576,,993.5065,,,9.6913,,,9.9783,,10.039,,,,,,,,,,
2026-02-11 00:00:00+00:00,10.3585,10.2349,10.07,10.1375,,9.9441,,10.1667,,994.5118,,,9.671,,,9.9753,,10.044,,,,,,,,,,
2026-02-12 00:00:00+00:00,10.3535,10.2235,10.02,10.1232,,9.919,,10.1469,,994.8071,,,9.6285,,,9.9506,,10.052,,,,,,,,,,
2026-02-13 00:00:00+00:00,10.3523,10.202,9.96,10.0653,,9.8041,,10.076,,987.2548,,,9.4891,,,9.91,,10.06,,,,,,,,,,
2026-02-16 00:00:00+00:00,10.3715,10.2218,9.97,10.0738,,9.8584,,10.1173,,990.9132,,,9.4801,,,9.9107,,10.06,,,,,,,,,,
2026-02-17 00:00:00+00:00,10.3818,10.2348,10.01,10.0924,,9.8804,,10.1378,,991.2977,,,9.5183,,,9.9227,,10.066,,,,,,,,,,
2026-02-18 00:00:00+00:00,10.395,10.2537,10.02,10.1037,,9.9063,,10.1583,,993.9071,,,9.5307,,,9.9163,,10.063,,,,,,,,,,
