mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,style_purity,style_drift,swing_elasticity,upside_capture,capture_spread
M_LIFC,LIC MF Large & Midcap Fund,54,32.55,4193,15.99,13.38,114.0,17.21,6.39,17.03,-12.9,-0.2875,1.68,0.9296,-0.0151,0.0751,0.4345,0.4989,0.76,0.9969,0.4274,0.127,-0.0077,0.5641,-0.3656
M_ICPIL,ICICI Pru Large & Mid Cap Fund,55,32.4,4977,18.31,18.65,140.0,17.61,6.71,17.06,-11.76,-0.1818,4.03,0.8683,-0.0219,0.0676,0.5823,0.5179,0.7955,0.9673,0.2956,0.1672,-0.009,0.3496,-0.5187
M_ESLI,Navi Large & Midcap Fund,56,28.49,3906,12.28,12.87,104.0,15.14,5.87,14.46,-14.13,-0.3123,0.88,0.9292,-0.0061,0.0739,0.4401,0.3479,0.7429,0.9997,0.5031,0.0974,-0.0081,0.5836,-0.3456
M_UTICY,UTI Large & Mid Cap Fund,57,25.67,4977,17.51,15.79,140.0,16.49,5.39,16.36,-12.99,-0.3829,2.1,0.9054,-0.0557,0.0787,0.5153,0.4519,0.7955,0.9936,0.4107,0.1196,-0.008,0.3523,-0.5531
M_ADTQV,Aditya Birla SL Large & Mid Cap Fund,58,25.11,4977,13.51,9.7,140.0,16.33,4.61,15.72,-14.98,-0.3538,-1.21,0.9705,0.0042,0.0948,0.4664,0.3708,0.7955,0.9942,0.4872,0.0722,-0.0042,0.5716,-0.399
M_IDIC,LIC MF Midcap Fund,59,25.03,3493,18.63,14.94,91.0,15.67,2.01,16.35,-16.12,-0.474,-0.49,0.969,-0.0125,0.1135,0.4231,0.4684,0.7165,0.9996,0.5796,0.1348,-0.0036,0.6808,-0.2882
M_NISG,Nippon India Vision Large & Mid Cap Fund,60,23.13,4977,17.38,14.92,140.0,16.28,4.16,15.7,-13.98,-0.4381,1.25,0.9586,-0.0784,0.1071,0.4164,0.4164,0.7955,0.9923,0.5592,0.1267,-0.0059,0.4665,-0.4921
M_TATAU,Tata Large & Mid Cap Fund,61,22.89,4977,8.97,10.96,140.0,16.36,8.24,15.58,-12.4,-0.3672,1.35,0.9063,-0.0121,0.0656,0.5126,0.2773,0.7955,0.9921,0.0052,0.1636,-0.0089,0.3598,-0.5465
M_BOLR,Bank of India Large & Mid Cap Fund,62,21.54,4977,15.69,13.33,140.0,15.14,4.57,14.76,-13.76,-0.4496,2.03,0.9324,-0.0539,0.0875,0.4473,0.4675,0.7955,0.9995,0.4141,0.1007,-0.0073,0.3814,-0.5509
M_HDOW,HDFC Large and Mid Cap Fund,63,19.8,4977,15.33,16.53,140.0,15.35,4.45,15.31,-13.26,-0.4769,1.97,0.9229,-0.0261,0.0733,0.4373,0.4366,0.7955,0.9699,0.2831,0.1005,-0.008,0.3386,-0.5843
M_FRED,Franklin India Large & Mid Cap Fund,64,18.06,4977,14.05,11.96,140.0,15.69,4.78,15.12,-13.29,-0.423,-0.96,0.9112,0.0,0.0796,0.455,0.3493,0.7955,0.9964,0.1853,0.1358,-0.0078,0.3387,-0.5725
