mfId,name,rank,score,evidence_qualified,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_hit_bench,hybrid_hit_peer,hybrid_window_n,up_recovery_capture,bull_recovery_excess,momentum_3m_rel,momentum_6m_rel,overheat_penalty,max_drawdown_2y,ulcer_2y,down_capture,bear_excess,recovery_weeks,tail_loss_1y,volatility_1y,current_drawdown,factor_alpha,factor_ir,alpha_stability,market_beta,small_mid_tilt,hybrid_score,recovery_score,resilience_score,active_skill_score,confidence_score,history_confidence,capacity_multiplier,xirr_coverage,aum,data_weeks,history_years,latest_nav_date,market_regime
M_ADTFU,Aditya Birla SL Focused Fund,34,52.83,True,1826,Focused Fund,2.27,12.83,10.42,16.76,10.08,6.04,72.22,44.44,36.0,0.98,-1.31,1.44,0.17,0.0,-16.48,6.68,0.9,6.63,35.0,-2.57,12.62,-4.68,4.92,1.48,1.16,-0.2,0.24,54.71,33.07,57.79,78.36,91.61,0.9,1.0,1.0,8016.66,262,5.0,2026-09-21,sideways
M_NIML,Nippon India Multi Cap Fund,35,52.74,True,1826,Multi Cap Fund,-1.42,13.56,16.87,22.27,9.84,4.72,100.0,91.67,36.0,1.11,7.74,0.05,1.4,0.0,-18.58,6.63,0.9,3.97,29.0,-2.94,12.68,-3.14,1.01,0.28,0.7,1.43,0.09,75.36,57.19,59.1,31.29,90.17,0.9,0.95,1.0,56297.62,262,5.0,2026-09-21,sideways
M_ICCYV,ICICI Pru Value Fund,36,52.57,True,1826,Value Fund,-5.39,11.66,14.3,21.42,13.42,2.0,91.67,86.11,36.0,0.94,-4.51,-1.85,-7.91,0.0,-14.01,6.43,0.67,10.09,17.0,-2.4,10.26,-10.25,3.74,1.2,1.09,0.19,0.05,70.5,14.22,72.31,67.6,90.07,0.9,0.94,1.0,60074.56,262,5.0,2026-09-21,sideways
M_PARO,Parag Parikh Flexi Cap Fund,37,52.35,True,1826,Flexi Cap Fund,-3.78,13.09,11.59,21.5,12.83,2.28,97.22,77.78,36.0,0.83,-12.21,2.02,-4.02,0.0,-10.98,3.89,0.65,15.55,27.0,-1.68,8.72,-5.47,5.04,1.13,0.87,0.2,0.04,71.16,15.24,74.52,74.33,89.12,0.9,0.91,1.0,147404.51,262,5.0,2026-09-21,sideways
M_UTILO,UTI Value Fund,38,51.32,True,1826,Value Fund,-4.08,12.25,11.08,20.19,11.0,1.78,86.11,55.56,36.0,1.02,1.26,0.1,-1.97,0.0,-17.23,7.44,0.89,2.8,44.0,-2.77,11.75,-7.35,3.39,1.09,0.72,0.08,0.24,61.21,36.97,48.47,64.25,91.61,0.9,1.0,1.0,9572.6,262,5.0,2026-09-21,sideways
M_INMC,Invesco India Multicap Fund,39,50.85,True,1826,Multi Cap Fund,1.02,14.04,12.12,19.94,7.64,3.67,77.78,69.44,36.0,1.07,4.72,3.97,11.25,0.0,-22.59,10.11,0.97,-2.17,26.0,-2.64,15.73,-4.78,1.82,0.38,0.21,-0.02,0.65,52.48,69.93,47.48,46.05,91.61,0.9,1.0,1.0,4529.0,262,5.0,2026-09-21,sideways
M_DSOF,DSP Focused Fund,40,50.55,True,1826,Focused Fund,-0.18,13.34,10.52,19.63,10.53,4.75,94.44,58.33,36.0,0.99,-0.51,0.51,2.73,0.0,-15.81,6.52,0.92,2.18,39.0,-3.02,13.22,-3.62,2.75,0.6,0.85,-0.05,0.48,65.29,36.47,43.78,58.0,91.61,0.9,1.0,1.0,2671.23,262,5.0,2026-09-21,sideways
M_ADTPV,Aditya Birla SL Value Fund,41,50.41,True,1826,Value Fund,11.55,14.7,14.58,17.28,7.07,9.2,80.56,61.11,36.0,1.24,17.5,4.44,9.4,0.0,-22.32,9.02,1.06,-10.41,70.0,-2.81,13.03,-1.8,2.09,0.5,0.29,0.61,0.43,53.4,85.76,31.62,45.21,91.61,0.9,1.0,1.0,6924.62,262,5.0,2026-09-21,sideways
M_NIEV,Nippon India Value Fund,42,49.94,True,1826,Value Fund,-2.81,14.12,13.76,22.63,9.52,2.19,88.89,83.33,36.0,1.11,7.94,-0.7,-1.73,0.0,-17.57,7.25,0.98,-3.05,44.0,-3.24,13.06,-6.56,3.04,0.85,0.72,0.74,0.2,65.84,52.66,28.6,55.54,91.61,0.9,1.0,1.0,9042.97,262,5.0,2026-09-21,sideways
M_BAMU,Baroda BNP Paribas Multi Cap Fund,43,49.53,True,1826,Multi Cap Fund,2.04,15.11,13.12,19.37,8.88,5.39,94.44,66.67,36.0,1.04,3.04,2.28,4.85,0.0,-19.4,7.63,0.96,-4.96,74.0,-2.64,13.36,-3.34,2.42,0.61,0.45,0.71,0.4,61.53,53.5,38.17,48.61,91.61,0.9,1.0,1.0,3492.89,262,5.0,2026-09-21,sideways
