mfId,name,rank,score,subsector,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,batting,capture_spread,omega
M_BAJFI,Bajaj Finserv Multi Cap Fund,81,43.4,Multi Cap Fund,532,,,0.0,,,,,,5.63,,0.401,0.0339,,,0.0,0.9986,,,
M_UNFL,Unifi Flexi Cap Fund,82,43.25,Flexi Cap Fund,434,,,0.0,,,,,,5.07,,0.0623,0.0354,,,0.0,0.9998,,,
M_PGUG,PGIM India Multi Cap Fund,83,42.97,Multi Cap Fund,707,,,0.0,,,,,1.6391,5.01,0.8658,0.06,0.0677,0.0724,,0.0,0.9996,,0.3289,1.442
M_UTMUL,UTI Multi Cap Fund,84,42.69,Multi Cap Fund,455,,,0.0,,,,,,3.95,,-0.035,0.0412,,,0.0,0.9979,,,
M_ADTFU,Aditya Birla SL Focused Fund,85,42.3,Focused Fund,4977,15.02,12.28,140.0,15.7,6.66,14.99,-12.22,0.5514,2.72,0.9527,-0.0209,0.0631,0.5192,0.4599,0.8537,0.992,0.5962,0.0006,2.1131
M_DSYE,DSP Flexi Cap Fund,86,42.1,Flexi Cap Fund,4977,13.13,11.3,140.0,16.92,6.34,16.29,-13.76,0.435,2.01,0.9925,-0.0503,0.08,0.4898,0.4042,0.8537,0.9876,0.7692,0.2683,1.9773
M_SBICO,SBI Contra Fund,87,41.88,Contra Fund,4977,13.22,17.19,140.0,18.85,5.15,18.73,-12.48,0.4766,5.26,0.9437,-0.07,0.0959,0.5218,0.3235,0.8537,0.9517,0.6538,0.0428,2.1205
M_CAPI,Capitalmind Flexi Cap Fund,88,41.88,Flexi Cap Fund,378,,,0.0,,,,,,0.38,,-0.3397,0.0291,,,0.0,0.9995,,,
M_ITMU,ITI Multi Cap Fund,89,41.82,Multi Cap Fund,2653,19.21,16.11,63.0,19.56,9.01,19.64,-12.12,0.3987,0.71,0.9487,-0.0072,0.0954,0.4417,0.5391,0.7241,0.9985,0.557,0.1124,2.0424
M_JIOF,JioBlackRock Flexi Cap Fund,90,41.43,Flexi Cap Fund,308,,,0.0,,,,,,0.79,,-0.0917,0.0515,,,0.0,0.9968,,,
M_THEA,The Wealth Company Flexi Cap Fund,91,41.12,Flexi Cap Fund,308,,,0.0,,,,,,-0.86,,0.2025,0.0473,,,0.0,0.9998,,,
M_BAMU,Baroda BNP Paribas Multi Cap Fund,92,40.81,Multi Cap Fund,4977,16.67,15.2,140.0,16.78,4.18,16.34,-13.39,0.4721,3.07,0.9751,-0.0186,0.0736,0.5087,0.545,0.8537,0.9966,0.7308,0.1664,2.0448
M_PRLF,Sundaram Focused Fund,93,40.8,Focused Fund,4977,12.54,11.24,140.0,15.49,6.48,14.74,-12.44,0.3338,2.89,0.9578,-0.0089,0.066,0.5094,0.453,0.8537,0.9989,0.6474,-0.0313,2.0357
M_HDFSO,HDFC Focused Fund,94,39.61,Focused Fund,4977,17.37,19.74,140.0,17.71,5.24,16.88,-12.49,0.3394,4.75,0.9803,0.0217,0.0987,0.4968,0.425,0.8537,0.9721,0.6731,0.1913,1.9618
M_SBUC,SBI Flexicap Fund,95,38.99,Flexi Cap Fund,4977,10.13,9.55,140.0,16.6,7.57,15.87,-12.06,0.4915,0.42,0.9419,-0.004,0.0637,0.506,0.3077,0.8537,0.9771,0.6026,-0.0374,2.1534
M_TATUM,Tata Multicap Fund,96,37.7,Multi Cap Fund,1295,12.36,,19.0,7.02,5.87,3.95,-16.45,0.2734,-0.96,0.9209,0.0889,0.0688,0.5596,0.5521,0.4419,0.9965,0.4286,0.0825,2.2615
M_ESEL,Navi Flexi Cap Fund,97,37.63,Flexi Cap Fund,2961,13.55,13.18,73.0,17.06,9.03,17.48,-13.4,0.4902,1.78,0.9537,0.0174,0.0754,0.3933,0.4001,0.7526,0.9997,0.4944,0.0733,1.9478
M_NICY,Nippon India Focused Fund,98,37.46,Focused Fund,4977,11.74,12.41,140.0,18.8,6.58,17.68,-14.27,0.5493,0.75,0.9912,0.0099,0.0919,0.5469,0.2906,0.8537,0.9915,0.6474,0.5293,2.0348
M_PGAV,PGIM India Flexi Cap Fund,99,36.29,Flexi Cap Fund,4186,12.33,9.64,113.0,17.06,5.57,17.16,-13.32,0.4972,3.48,0.9499,-0.0033,0.072,0.4617,0.395,0.8248,0.9941,0.5581,0.0846,2.0002
M_NIML,Nippon India Multi Cap Fund,100,35.68,Multi Cap Fund,4977,15.17,18.79,140.0,18.52,5.07,18.03,-14.02,0.5347,1.06,0.9901,-0.023,0.0867,0.5235,0.3799,0.8537,0.9472,0.6987,0.4446,2.0558
M_SACO,Samco Multi Cap Fund,101,35.17,Multi Cap Fund,651,,,0.0,,,,,-0.8393,-5.85,0.8058,-0.0723,0.0993,-0.6998,,0.0,0.9998,,-0.352,0.8001
M_UTILO,UTI Value Fund,102,34.57,Value Fund,4977,14.35,12.62,140.0,15.33,5.45,14.87,-12.98,0.2699,2.51,0.9604,-0.0219,0.0712,0.4532,0.4336,0.8537,0.9903,0.6795,-0.0781,2.0219
M_HSMY,HSBC Flexi Cap Fund,103,34.53,Flexi Cap Fund,4977,17.52,14.67,140.0,16.4,4.86,15.65,-14.22,0.6004,1.43,0.9899,-0.0068,0.0809,0.4844,0.4975,0.8537,0.9943,0.6731,0.3254,2.0249
M_AXMM,Axis Flexi Cap Fund,104,34.31,Flexi Cap Fund,3199,15.69,10.41,81.0,15.47,6.4,15.26,-13.76,0.3064,2.95,0.881,0.0152,0.0765,0.4378,0.6003,0.7714,0.9865,0.4742,-0.0282,2.0387
M_NJFL,NJ Flexi Cap Fund,105,32.86,Flexi Cap Fund,1078,11.13,,11.0,-1.83,-4.25,-1.31,-13.81,0.0678,0.94,1.0066,-0.15,0.1386,0.3707,0.438,0.3143,0.9973,0.2963,0.0155,1.7983
