mfId,name,rank,score,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,volatility,sharpe,alpha,beta,info_ratio,bayes_shrunk_alpha,bayes_shrink_lambda,block_alpha_n,alpha_pos_frac_12m,alpha_beat_peer_frac_12m,rolling_12m_n,forward_alpha_24m,regime_capture_spread,bear_correction_excess,recovery_half_life,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_xirr_hit_bench,hybrid_xirr_hit_peer,hybrid_xirr_n,max_drawdown,ulcer_perf_index,gain_to_pain,tail_ratio,current_drawdown,vol_drag_adj_return,active_divergence,active_skill_signal,beta_stability,aum_capacity_mult,p1_score,p2_score,p3_score,p4_score,p5_score,confidence,aum,data_weeks
M_KOTY,Kotak Focused Fund,32,61.35,2556,Focused Fund,10.95,16.45,14.53,0.164,0.607,3.33,0.923,0.615,3.55,0.821,5.0,100.0,33.3,30.0,2.41,0.13,-0.34,12.0,16.15,11.02,9.54,85.0,43.3,60.0,-33.45,1.367,0.495,0.972,0.0,15.95,4.38,0.001,0.96,1.0,64.957,61.112,49.264,62.833,72.045,1.0,4298.8,366
M_IDFUM,Bandhan Multi Cap Fund,33,61.04,1688,Multi Cap Fund,2.95,14.82,,0.136,0.61,4.2,0.919,0.931,3.85,0.917,4.0,93.3,53.3,30.0,3.97,0.252,2.86,11.0,17.65,8.41,4.72,100.0,51.4,35.0,-18.18,1.516,0.472,0.899,-0.35,13.68,4.13,0.002,0.953,1.0,62.348,67.05,66.971,62.466,52.164,0.97,2919.26,242
M_ADYUM,Aditya Birla SL Multi-Cap Fund,34,60.84,1898,Multi Cap Fund,5.31,15.26,14.36,0.141,0.622,3.7,0.961,0.846,2.97,0.967,5.0,90.0,38.5,30.0,4.01,0.197,1.17,11.0,16.29,8.96,6.18,100.0,28.6,42.0,-19.88,1.48,0.502,0.923,0.0,15.34,4.07,0.002,0.94,1.0,61.522,53.536,65.569,53.513,67.812,1.0,7029.63,272
M_HELF,Helios Flexi Cap Fund,35,59.66,974,Flexi Cap Fund,9.59,,,0.159,0.195,6.65,1.037,1.226,6.95,0.794,2.0,100.0,45.5,22.0,5.14,0.328,-3.44,7.0,7.47,6.91,9.15,100.0,100.0,9.0,-17.9,0.557,0.547,1.029,-0.18,17.19,5.59,0.004,0.888,1.0,52.5,80.173,78.366,60.717,68.779,0.88,7577.33,140
M_INVC,Invesco India Focused Fund,36,59.18,2115,Focused Fund,3.28,22.74,17.05,0.159,1.02,4.39,1.002,0.708,4.28,0.483,5.0,70.0,77.8,30.0,4.28,0.183,-1.12,8.0,14.9,4.74,2.77,62.0,52.0,50.0,-21.98,2.003,0.591,1.022,-0.35,19.79,6.23,0.003,0.944,1.0,32.261,63.845,69.276,68.497,84.505,1.0,5706.62,303
M_SBIUC,SBI Multicap Fund,37,58.69,1590,Multi Cap Fund,-1.15,14.41,,0.121,0.655,2.77,0.791,0.264,2.97,0.715,4.0,73.3,50.0,30.0,3.06,0.275,12.96,7.0,20.58,10.08,3.66,90.3,54.8,31.0,-14.74,1.793,0.525,0.952,-1.72,13.09,5.75,0.002,0.935,1.0,67.304,44.192,73.953,51.958,55.915,0.97,23693.4,228
M_BAFN,Bajaj Finserv Flexi Cap Fund,38,58.49,1065,Flexi Cap Fund,6.56,,,0.135,0.004,5.54,0.898,1.002,6.06,0.999,2.0,100.0,96.2,26.0,4.48,0.247,-1.23,11.0,9.38,7.81,7.99,100.0,100.0,13.0,-17.28,0.011,0.605,0.929,-0.15,16.35,4.91,0.003,0.911,1.0,55.152,90.87,65.827,58.266,59.758,0.88,7768.94,153
M_ADTUE,Aditya Birla SL Flexi Cap Fund,39,57.99,4943,Flexi Cap Fund,8.14,15.94,13.2,0.158,0.597,3.63,0.966,0.832,2.36,0.761,5.0,100.0,63.3,30.0,2.85,0.22,1.51,13.0,14.65,9.11,7.95,65.0,30.0,60.0,-35.43,1.358,0.47,1.006,0.0,15.0,4.09,0.001,0.961,0.997,47.5,67.608,53.262,64.296,67.894,1.0,26726.75,707
M_PRPW,Sundaram Multi Cap Fund,40,57.68,4943,Multi Cap Fund,2.5,15.08,14.23,0.163,0.527,3.33,0.992,0.753,3.42,0.956,5.0,96.7,56.7,30.0,2.31,0.1,-4.83,13.0,17.05,9.73,3.79,100.0,45.0,60.0,-34.87,1.097,0.44,1.003,-0.63,14.8,4.36,0.001,0.975,1.0,63.239,66.938,37.837,70.384,54.956,1.0,2762.7,707
M_FREE,Franklin India Flexi Cap Fund,41,57.54,4943,Flexi Cap Fund,-0.85,14.04,14.17,0.151,0.498,3.22,0.92,0.619,3.21,0.794,5.0,70.0,53.3,30.0,3.05,0.208,3.07,9.0,18.42,9.44,1.03,95.0,83.3,60.0,-35.6,1.127,0.465,1.045,-4.05,14.4,4.36,0.001,0.951,1.0,62.565,50.491,61.587,56.207,52.515,1.0,19274.14,707
